index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,ks_optimality,max_welfare_optimality,pareto_optimality,fairness,modified_kalai_optimality,modified_ks_optimality
28,BoulwareTBNegotiator,0.503182396799418,0.0007574209704742231,0.5028058114946462,0.5465949820788529,0.5248886894391355,S3_E-1,GeniusBOABaselineNegotiator,0.02030146081233397,BoulwareTBNegotiator@0,False,False,False,,0I4elsPGZ-w,0.9101795645181664,0.9126584534033798,0.9210437943802361,0.8546350332788867,0.9210437943802361,0.9210437943802361,0.9210437943802361,0.9210437943802361
29,GeniusBOABaselineNegotiator,0.5465949820788529,0.0010624744725208587,0.5461127384500538,0.503182396799418,0.5248886894391355,S3_E-1,BoulwareTBNegotiator,0.007131743477657437,GeniusBOABaselineNegotiator@1,False,False,False,,0I4elsPGZ-w,0.9101795645181664,0.9126584534033798,0.9210437943802361,0.8546350332788867,0.9210437943802361,0.9210437943802361,0.9210437943802361,0.9210437943802361
30,LinearTBNegotiator,0.5935672514619883,0.0008771261662935939,0.5932104456997367,0.868421052631579,0.7309941520467836,S0_F,GeniusBOABaselineNegotiator,0.018273250898346305,LinearTBNegotiator@0,False,False,False,,sD6buU6oUuY,0.8324241332371594,0.8324241332371594,0.8513976513554027,0.9667193271145101,1.0,0.8513976513554027,0.8513976513554027,0.8513976513554027
31,GeniusBOABaselineNegotiator,0.868421052631579,0.0007442816259952948,0.8683230478955606,0.5935672514619883,0.7309941520467836,S0_F,LinearTBNegotiator,0.006994331837631762,GeniusBOABaselineNegotiator@1,False,False,False,,sD6buU6oUuY,0.8324241332371594,0.8324241332371594,0.8513976513554027,0.9667193271145101,1.0,0.8513976513554027,0.8513976513554027,0.8513976513554027
32,SmartAspirationNegotiator,0.8778427550357375,0.0007442816259952948,0.8777517679227921,0.2059779077322937,0.5419103313840156,S0_F-1,ConcederTBNegotiator,0.013917250675149262,SmartAspirationNegotiator@0,False,False,False,,kSxuA2xXjZk,0.5566644835268639,0.5566644835268639,0.5731311073045606,0.7166612611675568,0.977991611797476,0.5731311073045606,0.5731311073045606,0.5731311073045606
33,ConcederTBNegotiator,0.2059779077322937,0.0008771261662935939,0.2052808387611162,0.8778427550357375,0.5419103313840156,S0_F-1,SmartAspirationNegotiator,0.023326117603573948,ConcederTBNegotiator@1,False,False,False,,kSxuA2xXjZk,0.5566644835268639,0.5566644835268639,0.5731311073045606,0.7166612611675568,0.977991611797476,0.5731311073045606,0.5731311073045606,0.5731311073045606
34,LinearTBNegotiator,0.3794671864847304,0.0007442816259952948,0.3790049913099276,0.7793597066154879,0.5794134465501092,S0_F-1,SmartAspirationNegotiator,0.02099807793274522,LinearTBNegotiator@0,False,False,False,,PIqG1l33nLY,0.7260400905445881,0.7260400905445881,0.7121247880259337,0.7662580823685883,0.9239956174677784,0.7260400905445881,0.7121247880259337,0.7121247880259337
35,SmartAspirationNegotiator,0.7793597066154879,0.0008771261662935939,0.7791660073421206,0.3794671864847304,0.5794134465501092,S0_F-1,LinearTBNegotiator,0.014610570622608066,SmartAspirationNegotiator@1,False,False,False,,PIqG1l33nLY,0.7260400905445881,0.7260400905445881,0.7121247880259337,0.7662580823685883,0.9239956174677784,0.7260400905445881,0.7121247880259337,0.7121247880259337
36,ConcederTBNegotiator,0.5935672514619883,0.0008771261662935939,0.5932104456997367,0.868421052631579,0.7309941520467836,S0_F,GeniusBOABaselineNegotiator,0.024143914924934506,ConcederTBNegotiator@0,False,False,False,,SBwod-OyZh8,0.8324241332371594,0.8324241332371594,0.8513976513554027,0.9667193271145101,1.0,0.8513976513554027,0.8513976513554027,0.8513976513554027
37,GeniusBOABaselineNegotiator,0.868421052631579,0.0007442816259952948,0.8683230478955606,0.5935672514619883,0.7309941520467836,S0_F,ConcederTBNegotiator,0.007062828924972564,GeniusBOABaselineNegotiator@1,False,False,False,,SBwod-OyZh8,0.8324241332371594,0.8324241332371594,0.8513976513554027,0.9667193271145101,1.0,0.8513976513554027,0.8513976513554027,0.8513976513554027
38,SmartAspirationNegotiator,0.7543859649122808,0.0008771261662935939,0.7541703412861719,0.7573099415204678,0.7558479532163743,S0_F,BoulwareTBNegotiator,0.01466158585390076,SmartAspirationNegotiator@0,False,False,False,,_F3qO16198E,0.9807999989329749,0.9807999989329749,1.0,0.9995877842364035,1.0,1.0,1.0,1.0
39,BoulwareTBNegotiator,0.7573099415204678,0.0007442816259952948,0.7571291772295895,0.7543859649122808,0.7558479532163743,S0_F,SmartAspirationNegotiator,0.01819457398960367,BoulwareTBNegotiator@1,False,False,False,,_F3qO16198E,0.9807999989329749,0.9807999989329749,1.0,0.9995877842364035,1.0,1.0,1.0,1.0
40,LinearTBNegotiator,0.34437946718648477,0.0007811278057266481,0.3438669434117273,0.797328273877102,0.5708538705317934,S5_F-1,GeniusBOABaselineNegotiator,0.024367751029785722,LinearTBNegotiator@0,False,False,False,,6n8hquQcrEI,0.6988246083002407,0.6988246083002407,0.6843837722421124,0.7549382824144538,0.9337405687728075,0.6988246083002407,0.6843837722421124,0.6843837722421124
41,GeniusBOABaselineNegotiator,0.797328273877102,0.0009639366705748589,0.7971327226692232,0.34437946718648477,0.5708538705317934,S5_F-1,LinearTBNegotiator,0.011751829122658819,GeniusBOABaselineNegotiator@1,False,False,False,,6n8hquQcrEI,0.6988246083002407,0.6988246083002407,0.6843837722421124,0.7549382824144538,0.9337405687728075,0.6988246083002407,0.6843837722421124,0.6843837722421124
42,SmartAspirationNegotiator,0.6031746031746031,0.0007754352238636291,0.6028666519879837,0.582010582010582,0.5925925925925926,S1_B-1,SmartAspirationNegotiator,0.016080122790299356,SmartAspirationNegotiator@0,False,False,False,,Uh3GiSfM7bk,0.9617153631935871,0.9802359416950643,0.9802359416950643,0.9538361758740667,0.9912092750886039,0.9802359416950643,0.9802359416950643,0.9802359416950643
43,SmartAspirationNegotiator,0.582010582010582,0.002193248997500751,0.5810918120473099,0.6031746031746031,0.5925925925925926,S1_B-1,SmartAspirationNegotiator,0.013440496171824634,SmartAspirationNegotiator@1,False,False,False,,Uh3GiSfM7bk,0.9617153631935871,0.9802359416950643,0.9802359416950643,0.9538361758740667,0.9912092750886039,0.9802359416950643,0.9802359416950643,0.9802359416950643
44,BoulwareTBNegotiator,0.503182396799418,0.0006426653306037134,0.5028629040232768,0.5465949820788529,0.5248886894391355,S2_E-1,GeniusBOABaselineNegotiator,0.020634167944081128,BoulwareTBNegotiator@0,False,False,False,,1HZ0cWkDqAc,0.9101795645181664,0.9126584534033798,0.9210437943802361,0.8546350332788867,0.9210437943802361,0.9210437943802361,0.9210437943802361,0.9210437943802361
45,GeniusBOABaselineNegotiator,0.5465949820788529,0.0012950634439420957,0.546007032382685,0.503182396799418,0.5248886894391355,S2_E-1,BoulwareTBNegotiator,0.007114493171684444,GeniusBOABaselineNegotiator@1,False,False,False,,1HZ0cWkDqAc,0.9101795645181664,0.9126584534033798,0.9210437943802361,0.8546350332788867,0.9210437943802361,0.9210437943802361,0.9210437943802361,0.9210437943802361
46,ConcederTBNegotiator,0.44971813056919435,0.0007574209704742231,0.4493010196130306,0.5331541218637992,0.4914361262164968,S3_E-1,ConcederTBNegotiator,0.007893625239375979,ConcederTBNegotiator@0,False,False,False,,_eUuptveVe0,0.8750503643735918,0.8735938136947262,0.8829793189802546,0.8001668516276624,0.8829793189802546,0.8829793189802546,0.8829793189802546,0.8829793189802546
47,ConcederTBNegotiator,0.5331541218637992,0.0010624744725208587,0.532657582475253,0.44971813056919435,0.4914361262164968,S3_E-1,ConcederTBNegotiator,0.007443582988344133,ConcederTBNegotiator@1,False,False,False,,_eUuptveVe0,0.8750503643735918,0.8735938136947262,0.8829793189802546,0.8001668516276624,0.8829793189802546,0.8829793189802546,0.8829793189802546,0.8829793189802546
48,ConcederTBNegotiator,0.25438596491228077,0.0009639366705748589,0.2536665467281953,0.8888888888888888,0.5716374269005848,S5_F,BoulwareTBNegotiator,0.022515377670060843,ConcederTBNegotiator@0,False,False,False,,DJvDfIZnBT8,0.590083685965619,0.590083685965619,0.6069419837946906,0.755974513803547,1.0,0.6069419837946906,0.6069419837946906,0.6069419837946906
49,BoulwareTBNegotiator,0.8888888888888888,0.0007811278057266481,0.8888020290618487,0.25438596491228077,0.5716374269005848,S5_F,ConcederTBNegotiator,0.015771244536153972,BoulwareTBNegotiator@1,False,False,False,,DJvDfIZnBT8,0.590083685965619,0.590083685965619,0.6069419837946906,0.755974513803547,1.0,0.6069419837946906,0.6069419837946906,0.6069419837946906
50,LinearTBNegotiator,0.8700454840805718,0.0007811278057266481,0.8699438936395891,0.48862897985705,0.6793372319688109,S5_F-1,ConcederTBNegotiator,0.008514584216754884,LinearTBNegotiator@0,False,False,False,,IdzzElxbeU0,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,1.0,0.7805360810361862,0.7805360810361862,0.7805360810361862
51,ConcederTBNegotiator,0.48862897985705,0.0009639366705748589,0.48813557496739834,0.8700454840805718,0.6793372319688109,S5_F-1,LinearTBNegotiator,0.008733289025258273,ConcederTBNegotiator@1,False,False,False,,IdzzElxbeU0,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,1.0,0.7805360810361862,0.7805360810361862,0.7805360810361862
52,GeniusBOABaselineNegotiator,0.9385964912280702,0.0008771261662935939,0.938542585321543,0.2108512020792723,0.5747238466536713,S0_F,ConcederTBNegotiator,0.0071122938534244895,GeniusBOABaselineNegotiator@0,False,False,False,,I2hTa8JXnfA,0.5785530218644237,0.5785530218644237,0.5615949814358568,0.7600562176291416,0.9902986456949824,0.5785530218644237,0.5615949814358568,0.5615949814358568
53,ConcederTBNegotiator,0.2108512020792723,0.0007442816259952948,0.21026341565016443,0.9385964912280702,0.5747238466536713,S0_F,GeniusBOABaselineNegotiator,0.019789744110312313,ConcederTBNegotiator@1,False,False,False,,I2hTa8JXnfA,0.5785530218644237,0.5785530218644237,0.5615949814358568,0.7600562176291416,0.9902986456949824,0.5785530218644237,0.5615949814358568,0.5615949814358568
54,LinearTBNegotiator,0.6919439898163302,0.0006426653306037134,0.6917458855839791,0.30734767025089604,0.4996458300336131,S2_E-1,ConcederTBNegotiator,0.011604001221712679,LinearTBNegotiator@0,False,False,False,,xBZx74lJk1M,0.7541134173788117,0.7902421138444015,0.7774568873879285,0.8135340676414962,1.0,0.7902421138444015,0.7774568873879285,0.7774568873879285
55,ConcederTBNegotiator,0.30734767025089604,0.0012950634439420957,0.3064494783237462,0.6919439898163302,0.4996458300336131,S2_E-1,LinearTBNegotiator,0.013708124228287488,ConcederTBNegotiator@1,False,False,False,,xBZx74lJk1M,0.7541134173788117,0.7902421138444015,0.7774568873879285,0.8135340676414962,1.0,0.7902421138444015,0.7774568873879285,0.7774568873879285
56,LinearTBNegotiator,0.796801346187857,0.0007754352238636291,0.7966436565161236,0.32275132275132273,0.5597763344695899,S1_B-1,ConcederTBNegotiator,0.009446751151699573,LinearTBNegotiator@0,False,False,False,,LaCebC4zxvE,0.7341014220333839,0.756164987707006,0.756164987707006,0.9010151744882784,1.0,0.756164987707006,0.756164987707006,0.756164987707006
57,ConcederTBNegotiator,0.32275132275132273,0.002193248997500751,0.32126268281083126,0.796801346187857,0.5597763344695899,S1_B-1,LinearTBNegotiator,0.011460459732916206,ConcederTBNegotiator@1,False,False,False,,LaCebC4zxvE,0.7341014220333839,0.756164987707006,0.756164987707006,0.9010151744882784,1.0,0.756164987707006,0.756164987707006,0.756164987707006
58,SmartAspirationNegotiator,0.47368421052631576,0.004370114375307104,0.47137405468352794,0.5263157894736842,0.5,S4_A,SmartAspirationNegotiator,0.015467959630768746,SmartAspirationNegotiator@0,False,False,False,,HgEMpmCbY7E,0.9707602339181286,0.9707602339181286,0.9707602339181286,1.0,0.9999999999999999,0.9707602339181286,0.9766081871345029,0.9766081871345029
59,SmartAspirationNegotiator,0.5263157894736842,0.0034960628013070215,0.5246539498299364,0.47368421052631576,0.5,S4_A,SmartAspirationNegotiator,0.014776785741560161,SmartAspirationNegotiator@1,False,False,False,,HgEMpmCbY7E,0.9707602339181286,0.9707602339181286,0.9707602339181286,1.0,0.9999999999999999,0.9707602339181286,0.9766081871345029,0.9766081871345029
60,BoulwareTBNegotiator,0.5185185185185185,0.0007442816259952948,0.518159893780792,0.55843702955246,0.5384777740354892,S0_F-1,GeniusBOABaselineNegotiator,0.02095425484003499,BoulwareTBNegotiator@0,False,False,False,,kJ2AkDyHVPU,0.7659319509600617,0.7659319509600617,0.7651664033242354,0.7121218000501757,0.7817356951733825,0.7659319509600617,0.7651664033242354,0.7651664033242354
61,GeniusBOABaselineNegotiator,0.55843702955246,0.0008771261662935939,0.5580493831021693,0.5185185185185185,0.5384777740354892,S0_F-1,BoulwareTBNegotiator,0.007478241575881839,GeniusBOABaselineNegotiator@1,False,False,False,,kJ2AkDyHVPU,0.7659319509600617,0.7659319509600617,0.7651664033242354,0.7121218000501757,0.7817356951733825,0.7659319509600617,0.7651664033242354,0.7651664033242354
62,LinearTBNegotiator,0.3166030187306783,0.0007574209704742231,0.3160850071730895,0.7539135594696658,0.535258289100172,S3_E-1,BoulwareTBNegotiator,0.020134918158873916,LinearTBNegotiator@0,False,False,False,,Gt7suwkdlwE,0.7874967847247605,0.7566580799973476,0.7733644806400886,0.8715190380778248,0.9676090921129151,0.7874967847247605,0.7733644806400886,0.7733644806400886
63,BoulwareTBNegotiator,0.7539135594696658,0.0010624744725208587,0.7536518208179329,0.3166030187306783,0.535258289100172,S3_E-1,LinearTBNegotiator,0.017790370620787144,BoulwareTBNegotiator@1,False,False,False,,Gt7suwkdlwE,0.7874967847247605,0.7566580799973476,0.7733644806400886,0.8715190380778248,0.9676090921129151,0.7874967847247605,0.7733644806400886,0.7733644806400886
64,LinearTBNegotiator,0.5304659498207884,0.0010624744725208587,0.5299665512802929,0.5653755228223313,0.5479207363215599,S3_E,LinearTBNegotiator,0.014838122762739658,LinearTBNegotiator@0,False,False,False,,s254umB4tck,0.9218443521335803,0.942796874646565,0.9422771620333915,0.8921363065009765,0.942796874646565,0.942796874646565,0.9422771620333915,0.9422771620333915
65,LinearTBNegotiator,0.5653755228223313,0.0007574209704742231,0.5650460796018317,0.5304659498207884,0.5479207363215599,S3_E,LinearTBNegotiator,0.014071037410758436,LinearTBNegotiator@1,False,False,False,,s254umB4tck,0.9218443521335803,0.942796874646565,0.9422771620333915,0.8921363065009765,0.942796874646565,0.942796874646565,0.9422771620333915,0.9422771620333915
66,LinearTBNegotiator,0.7651169989224802,0.0010624744725208587,0.764867176299647,0.4238952536824877,0.594506126302484,S3_E,ConcederTBNegotiator,0.00995887815952301,LinearTBNegotiator@0,False,False,False,,8Ia3oyamaXw,0.8500196090556311,0.8150382970349164,0.8316149347784617,0.9679876386361752,1.0,0.8500196090556311,0.8316149347784617,0.8316149347784617
67,ConcederTBNegotiator,0.4238952536824877,0.0007574209704742231,0.4234585691123863,0.7651169989224802,0.594506126302484,S3_E,LinearTBNegotiator,0.011341788107529283,ConcederTBNegotiator@1,False,False,False,,8Ia3oyamaXw,0.8500196090556311,0.8150382970349164,0.8316149347784617,0.9679876386361752,1.0,0.8500196090556311,0.8316149347784617,0.8316149347784617
68,ConcederTBNegotiator,0.1375661375661376,0.002193248997500751,0.13567044764191794,0.9079124572989682,0.5227392974325529,S1_B,BoulwareTBNegotiator,0.02313108602538705,ConcederTBNegotiator@0,False,False,False,,YD_pR4kXO2M,0.5796181182470082,0.601689676597047,0.601689676597047,0.8414004134961494,1.0,0.601689676597047,0.601689676597047,0.601689676597047
69,BoulwareTBNegotiator,0.9079124572989682,0.0007754352238636291,0.9078409939594881,0.1375661375661376,0.5227392974325529,S1_B,ConcederTBNegotiator,0.01507532614050433,BoulwareTBNegotiator@1,False,False,False,,YD_pR4kXO2M,0.5796181182470082,0.601689676597047,0.601689676597047,0.8414004134961494,1.0,0.601689676597047,0.601689676597047,0.601689676597047
70,LinearTBNegotiator,0.8700454840805718,0.0007442816259952948,0.869948689279566,0.48862897985705,0.6793372319688109,S0_F-1,ConcederTBNegotiator,0.00814300001366064,LinearTBNegotiator@0,False,False,False,,ZqAHG_dtitI,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,1.0,0.7805360810361862,0.7805360810361862,0.7805360810361862
71,ConcederTBNegotiator,0.48862897985705,0.0008771261662935939,0.4881800491857597,0.8700454840805718,0.6793372319688109,S0_F-1,LinearTBNegotiator,0.008473166089970618,ConcederTBNegotiator@1,False,False,False,,ZqAHG_dtitI,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,1.0,0.7805360810361862,0.7805360810361862,0.7805360810361862
