run_id,seed,profile_id,n_steps,n_agents,agreement,agreement_outcome,rounds,u_buyer,u_supplier_avg,u_supplier_min,u_supplier_max,welfare,min_utility,utility_range,pareto_distance,money_left_on_table,welfare_regret,nash_gap,strategy_buyer,strategy_supplier_1,u_supplier_1,strategy_supplier_2,u_supplier_2
30,10,M1,20,3,0,,2,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
31,11,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,LinearTBNegotiator,0.6075290952567117
32,12,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,LinearTBNegotiator,0.6075290952567117
33,13,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
34,14,M1,20,3,0,,1,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
35,15,M1,20,3,0,,16,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
36,16,M1,20,3,0,,0,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
37,17,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,LinearTBNegotiator,0.6075290952567117
38,18,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,LinearTBNegotiator,0.6075290952567117
39,19,M1,20,3,0,,2,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
