time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,SmartAspirationNegotiator@1
0.013342708,0.43137254901960786,21,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013535666,0.45098039215686275,22,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.013535666,0.45098039215686275,22,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013729666,0.47058823529411764,23,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.013729666,0.47058823529411764,23,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013922041,0.49019607843137253,24,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.013922041,0.49019607843137253,24,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.014115041,0.5098039215686274,25,SmartAspirationNegotiator@0,"(7, 1, 9, 'basic')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.014115041,0.5098039215686274,25,SmartAspirationNegotiator@1,"(0, 8, 0, 'premium')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.014319083,0.5294117647058824,26,SmartAspirationNegotiator@0,"(8, 1, 8, 'basic')",{},continuing,,,0.9415204678362572,0.058479532163742715
0.014319083,0.5294117647058824,26,SmartAspirationNegotiator@1,"(0, 8, 0, 'premium')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.01452025,0.5490196078431373,27,SmartAspirationNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.01452025,0.5490196078431373,27,SmartAspirationNegotiator@1,"(0, 7, 0, 'premium')",{},continuing,,,0.08771929824561404,0.9122807017543859
0.014731375,0.5686274509803921,28,SmartAspirationNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
