time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,ConcederTBNegotiator@1
0.02330525,0.35294117647058826,17,ConcederTBNegotiator@1,"(4, 7, 2, 'standard')",{},continuing,,,0.6365095604268096,0.2654320987654321
0.024011042,0.37254901960784315,18,GeniusBOABaselineNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.024011042,0.37254901960784315,18,ConcederTBNegotiator@1,"(2, 6, 5, 'standard')",{},continuing,,,0.5753736192332684,0.25536062378167645
0.024808917,0.39215686274509803,19,GeniusBOABaselineNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.024808917,0.39215686274509803,19,ConcederTBNegotiator@1,"(2, 2, 4, 'premium')",{},continuing,,,0.36740389115090055,0.24561403508771928
0.025534709,0.4117647058823529,20,GeniusBOABaselineNegotiator@0,"(1, 10, 1, 'standard')",{},continuing,,,0.9749310142432539,0.14067576348278105
0.025534709,0.4117647058823529,20,ConcederTBNegotiator@1,"(0, 6, 0, 'basic')",{},continuing,,,0.5373619233268357,0.23651721897335937
0.026264292,0.43137254901960786,21,GeniusBOABaselineNegotiator@0,"(1, 10, 2, 'standard')",{},continuing,,,0.9669189171519559,0.15821962313190385
0.026264292,0.43137254901960786,21,ConcederTBNegotiator@1,"(0, 5, 8, 'premium')",{},continuing,,,0.4408706952566602,0.22774528914879794
0.027046625,0.45098039215686275,22,GeniusBOABaselineNegotiator@0,"(2, 10, 0, 'standard')",{},continuing,,,0.9649122807017545,0.14165042235217676
0.027046625,0.45098039215686275,22,ConcederTBNegotiator@1,"(1, 6, 8, 'premium')",{},continuing,,,0.47888239116309295,0.2192982456140351
0.027810584,0.47058823529411764,23,GeniusBOABaselineNegotiator@0,"(0, 10, 5, 'standard')",{},continuing,,,0.9561403508771931,0.20467836257309946
0.027810584,0.47058823529411764,23,ConcederTBNegotiator@1,"(2, 2, 2, 'premium')",{},continuing,,,0.38537245841251455,0.21052631578947367
0.02857925,0.49019607843137253,24,GeniusBOABaselineNegotiator@0,"(3, 10, 0, 'standard')",{},continuing,,,0.9473684210526316,0.17251461988304095
0.02857925,0.49019607843137253,24,ConcederTBNegotiator@1,"(2, 6, 6, 'premium')",{},continuing,,,0.49344602307400864,0.20272904483430798
0.029366292,0.5098039215686274,25,GeniusBOABaselineNegotiator@0,"(1, 10, 5, 'standard')",{'GeniusBOABaselineNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.9385964912280702,0.2108512020792723
