time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,LinearTBNegotiator@1
0.020631125,0.45098039215686275,22,SmartAspirationNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9682539682539683,0.052910052910052914
0.020631125,0.45098039215686275,22,LinearTBNegotiator@1,"(0, 2, 0, 'basic')",{},continuing,,,0.3412698412698413,0.5502645502645502
0.021222,0.47058823529411764,23,SmartAspirationNegotiator@0,"(7, 2, 9, 'basic')",{},continuing,,,0.9523809523809524,0.07936507936507937
0.021222,0.47058823529411764,23,LinearTBNegotiator@1,"(2, 7, 3, 'basic')",{},continuing,,,0.5823259282456065,0.5343915343915344
0.021818625,0.49019607843137253,24,SmartAspirationNegotiator@0,"(7, 2, 9, 'basic')",{},continuing,,,0.9523809523809524,0.07936507936507937
0.021818625,0.49019607843137253,24,LinearTBNegotiator@1,"(6, 6, 7, 'premium')",{},continuing,,,0.623498234383781,0.5132275132275133
0.022472667,0.5098039215686274,25,SmartAspirationNegotiator@0,"(6, 2, 9, 'basic')",{},continuing,,,0.9365079365079365,0.10582010582010584
0.022472667,0.5098039215686274,25,LinearTBNegotiator@1,"(9, 10, 1, 'basic')",{},continuing,,,0.5238095238095238,0.49206349206349204
0.023114875,0.5294117647058824,26,SmartAspirationNegotiator@0,"(9, 4, 8, 'basic')",{},continuing,,,0.923785473171984,0.11111111111111113
0.023114875,0.5294117647058824,26,LinearTBNegotiator@1,"(4, 2, 4, 'standard')",{},continuing,,,0.619047619047619,0.47619047619047616
0.023798625,0.5490196078431373,27,SmartAspirationNegotiator@0,"(9, 6, 9, 'basic')",{},continuing,,,0.9206349206349206,0.13227513227513227
0.023798625,0.5490196078431373,27,LinearTBNegotiator@1,"(2, 4, 8, 'standard')",{},continuing,,,0.6936267430132538,0.455026455026455
0.024477292,0.5686274509803921,28,SmartAspirationNegotiator@0,"(9, 7, 9, 'basic')",{},continuing,,,0.9047619047619048,0.15873015873015875
