profile_id,n_steps,role,strategy,agreement_mean,agreement_std,agreement_count,rounds_mean,rounds_std,rounds_count,own_utility_mean,own_utility_std,own_utility_count,welfare_mean,welfare_std,welfare_count,pareto_distance_mean,pareto_distance_std,pareto_distance_count,nash_distance_mean,nash_distance_std,nash_distance_count,kalai_distance_mean,kalai_distance_std,kalai_distance_count,ks_distance_mean,ks_distance_std,ks_distance_count,money_left_on_table_mean,money_left_on_table_std,money_left_on_table_count,welfare_regret_mean,welfare_regret_std,welfare_regret_count,nash_gap_mean,nash_gap_std,nash_gap_count,agreement_ci95,rounds_ci95,own_utility_ci95,welfare_ci95,pareto_distance_ci95,nash_distance_ci95,kalai_distance_ci95,ks_distance_ci95,money_left_on_table_ci95,welfare_regret_ci95,nash_gap_ci95,agreement_boot_ci_low,agreement_boot_ci_high,rounds_boot_ci_low,rounds_boot_ci_high,own_utility_boot_ci_low,own_utility_boot_ci_high,welfare_boot_ci_low,welfare_boot_ci_high,pareto_distance_boot_ci_low,pareto_distance_boot_ci_high,nash_distance_boot_ci_low,nash_distance_boot_ci_high,kalai_distance_boot_ci_low,kalai_distance_boot_ci_high,ks_distance_boot_ci_low,ks_distance_boot_ci_high,money_left_on_table_boot_ci_low,money_left_on_table_boot_ci_high,welfare_regret_boot_ci_low,welfare_regret_boot_ci_high,nash_gap_boot_ci_low,nash_gap_boot_ci_high
B,24,seller,SmartAspirationNegotiator,0.315,0.4656815397698431,200,11.28,7.121458830843365,200,0.22964496253972133,0.34623399072672706,200,0.3575836750617672,0.5251058817991682,200,0.5782324105237887,0.3870943632030407,200,0.680028058223915,0.3049875011129433,200,0.6656376365246595,0.3132749650131346,200,0.6646138997502977,0.3083115689525344,200,0.8849621783696329,0.5251058817991682,200,0.7122169181328252,0.4226048321267519,200,0.872575055096963,0.5251058817991682,200,0.0645401686303512,0.9869838389211124,0.04798558293314919,0.07277596225278216,0.05364854163927185,0.04226911112196397,0.043417695018806116,0.04272980342042178,0.07277596225278216,0.05857004154156964,0.07277596225278216,0.25,0.38,10.29475,12.28,0.18452241861127378,0.27695296987990153,0.2876533334783597,0.42973084112211407,0.5282593298662931,0.6322488963495638,0.6360093342857681,0.7240686593471521,0.6209754451925616,0.7072514390487838,0.6213887732593536,0.7066415841002599,0.813358952512139,0.958304337107238,0.6570889311804958,0.770040542471449,0.7967117385783097,0.9435563364981179
B,36,buyer,BoulwareTBNegotiator,0.135,0.3425810984938109,200,12.385,8.979416719537834,200,0.10722442680776015,0.2734988141205237,200,0.16228265183139928,0.40432667834931063,200,0.7291136580075509,0.2815668871031133,200,0.7895132833169586,0.20789447002546937,200,0.7844579004221724,0.2033414120058406,200,0.7788130244536005,0.20376045658679054,200,1.0802632016000007,0.4043266783493107,200,0.86939503972168,0.32540181694923115,200,1.067876078327331,0.4043266783493107,200,0.04747931789885681,1.2444836648830726,0.03790500175777587,0.05603681867078419,0.03902317962472689,0.02881270354713379,0.028181681899774,0.028239758515676595,0.0560368186707842,0.0450983909495441,0.0560368186707842,0.09,0.185,11.125,13.59525,0.07223032407407409,0.14754469797178132,0.10993483535105643,0.21984690511739224,0.6881021551861914,0.766197316245408,0.7580182054025765,0.8178264336399231,0.7546783002577997,0.8116699316864381,0.749811563875117,0.8072932939629052,1.0261513849814252,1.1333290566581002,0.8221895377184865,0.9120453802980025,1.0101399252456504,1.120863084213109
B,36,buyer,ConcederTBNegotiator,0.43,0.49631810191797077,200,8.505,7.3031950741752265,200,0.1482142857142857,0.19900278649552258,200,0.4716680356448358,0.541368475548195,200,0.4882097938729264,0.40650245838669347,200,0.6408481887441775,0.293154003826952,200,0.6243142865682726,0.30118006273330594,200,0.6248006695109911,0.2963583911841925,200,0.7708778177865642,0.541368475548195,200,0.6204019076299817,0.4356929557594661,200,0.7584906945138944,0.541368475548195,200,0.06878617951639929,1.0121711972103886,0.027580379081976532,0.07502984275542746,0.05633836639926973,0.040629072071452874,0.04174142708451444,0.0410731775013041,0.07502984275542746,0.06038396293241486,0.07502984275542746,0.36,0.495,7.459875,9.485124999999998,0.12320860890652557,0.17640983245149908,0.39687390432137437,0.543923063660425,0.4313976417161172,0.5458822746799283,0.6003228717688387,0.6811356796489383,0.5819544263378077,0.6673689519285336,0.5829327731665558,0.664382905261993,0.6989515715538913,0.841870736458654,0.5589805185017717,0.6828204482603557,0.6832306596054192,0.833797918883312
B,36,buyer,GeniusBOABaselineNegotiator,0.135,0.3425810984938109,200,12.385,8.979416719537834,200,0.10714506172839507,0.27338114098787414,200,0.16242188104814295,0.4046653525819597,200,0.7289776530003428,0.2819040467016523,200,0.7896495163689689,0.20745927204694828,200,0.784578517777021,0.20293295750955198,200,0.7789540004237813,0.20329364469335912,200,1.080123972383257,0.40466535258195974,200,0.8692829881492095,0.3256743817255842,200,1.0677368491105872,0.40466535258195974,200,0.04747931789885681,1.2444836648830726,0.037888693093644114,0.056083756524701975,0.03906990756106683,0.028752388184546687,0.028125072994724158,0.028175061688021353,0.05608375652470198,0.045136166500271774,0.05608375652470198,0.09,0.18,11.12,13.73,0.07038100749559084,0.14562753527336858,0.10945672124699535,0.21634319069297162,0.6914510858091195,0.7697763930339223,0.759986544944976,0.8192613438551269,0.7561783359839738,0.8113943376241592,0.74904942861954,0.8051364420420847,1.0218037555922805,1.133378752669445,0.8251748457014444,0.9115115250755493,1.0089480504501154,1.1212583206122153
B,36,buyer,LinearTBNegotiator,0.295,0.4571871613491705,200,10.89,7.920325611295582,200,0.17777116402116402,0.2946896065401246,200,0.3375628433306212,0.518592288463167,200,0.6025238111332372,0.36828665647210623,200,0.6905217421543134,0.2834294580252973,200,0.6846824315713382,0.28096845221042255,200,0.6800456108983686,0.2802372166600906,200,0.9049830101007789,0.518592288463167,200,0.72832966896279,0.4173626969427554,200,0.892595886828109,0.5185922884631669,200,0.06336290784403963,1.0977011259947083,0.040841895749424664,0.07187322427329769,0.051041926473541575,0.03928131878451226,0.03894024078006572,0.038838896703273985,0.07187322427329769,0.057843518671615544,0.07187322427329768,0.23,0.36,9.789874999999999,12.020124999999998,0.13626129850088187,0.2196750440917108,0.26966180937039413,0.40587213080842016,0.5514358650011251,0.6546798334633852,0.650886054798588,0.7291235592882438,0.6442839328960457,0.7231332747416077,0.6404842373280685,0.7174472516065183,0.8323308325090268,0.9787921188190052,0.6688536310069623,0.7874188422310784,0.8204033081074791,0.9663134980286276
B,36,buyer,SmartAspirationNegotiator,0.28,0.45012561060956435,200,14.95,9.507336495369298,200,0.20984126984126983,0.3463176396413731,200,0.33250438708826846,0.529863553009557,200,0.6090894825848409,0.3713526577703418,200,0.6947322350181497,0.2972115631171803,200,0.6899026484727767,0.29746581797948446,200,0.685021637932224,0.2952455457593111,200,0.9100414663431314,0.5298635530095569,200,0.7324007108711293,0.42643380245991874,200,0.8976543430704618,0.5298635530095569,200,0.062384226842960626,1.3176496129520032,0.04799717608124706,0.07343534184158447,0.05146685257412697,0.0411914210985335,0.04122665902464135,0.04091894499422027,0.07343534184158444,0.05910070975552834,0.07343534184158444,0.22,0.345,13.68,16.270125,0.1618074294532628,0.25843347663139327,0.2624240555375735,0.4052370131310653,0.5521170652840915,0.6585290821621439,0.6491986505610698,0.735211803772272,0.6473630251752703,0.7297039850333004,0.6443967477504863,0.7242158333035387,0.8356368827050891,0.9806660256884773,0.6752671438267634,0.7883341338553757,0.8222808761156807,0.9738250372545287
B,36,seller,BoulwareTBNegotiator,0.15,0.35796746153468745,200,13.17,9.441760120382972,200,0.11081955043039857,0.26779937366805256,200,0.17158233702651848,0.40297555591922535,200,0.715656632650089,0.2968904569511358,200,0.7804385742462112,0.22762223877601673,200,0.7695865125301323,0.23366268153098085,200,0.7663655601220033,0.22976557162529598,200,1.0709635164048814,0.40297555591922535,200,0.8619106598338574,0.3243144345992324,200,1.0585763931322116,0.40297555591922535,200,0.04961175902108117,1.3085611910620645,0.037115099611165256,0.055849562655608996,0.041146918054425295,0.03154683280312744,0.03238399545767468,0.03184388358077223,0.055849562655608996,0.04494768744459247,0.055849562655608996,0.105,0.20012499999999933,11.874875,14.395,0.07467212736360171,0.15062974023186307,0.11777934447277694,0.22814248397046527,0.6739055661777916,0.757246667902858,0.7472874165857206,0.8108015101477667,0.7359980120229249,0.8014024503892957,0.734476167109792,0.7963858412093068,1.0147615798313172,1.1253165372652771,0.8177290926919222,0.9045861696873565,0.9979111757117304,1.1093723475823583
B,36,seller,ConcederTBNegotiator,0.485,0.5010290917239923,200,8.59,6.802445614016937,200,0.18509612616188229,0.2192405287213595,200,0.5576865141689369,0.5734534139812499,200,0.4490767815233041,0.40433498750857133,200,0.597013947907698,0.3014941454055948,200,0.5983248821018675,0.2990260729688775,200,0.5918734284023188,0.2982258907148396,200,0.684859339262463,0.57345341398125,200,0.5511742986153498,0.4615148908972719,200,0.6724722159897933,0.57345341398125,200,0.06943908939263525,0.9427708627755166,0.030385187055680277,0.0794765883532608,0.056037970261504595,0.04178495672205046,0.041442899333783825,0.04133199973137282,0.07947658835326081,0.063962700558518,0.07947658835326081,0.415,0.555,7.619875,9.485124999999998,0.15551934541134188,0.21585854274160488,0.4738006215912934,0.6330066464526185,0.39449816229780077,0.504273934089922,0.557106871915946,0.6353629692870099,0.557374688407092,0.6373199702517539,0.5485381497725789,0.6332863278529578,0.6103913339493063,0.7607516418050951,0.4842868052226568,0.6114664276296734,0.5920219286608743,0.7515695010091379
B,36,seller,GeniusBOABaselineNegotiator,0.15,0.35796746153468745,200,13.17,9.441760120382972,200,0.11237227568004561,0.27066169563771486,200,0.17115093529203856,0.40192360997469717,200,0.7155762256005864,0.2970765780963538,200,0.7825102532119409,0.22125476725988663,200,0.7712342818422424,0.22866462871945478,200,0.7683612887611082,0.22364184870846,200,1.0713949181393614,0.40192360997469706,200,0.8622578516363077,0.32346782926742673,200,1.0590077948666916,0.40192360997469706,200,0.04961175902108117,1.3085611910620645,0.037511797197004,0.05570377038588875,0.04117271312911084,0.03066434627466616,0.031691300678666004,0.030995178884654202,0.05570377038588873,0.04483035393185521,0.05570377038588873,0.1,0.205,11.86,14.455499999999997,0.07693859611703681,0.14949760164444595,0.12006508293386214,0.22674917326645813,0.6730456895732729,0.7569307013216774,0.7505045775288165,0.8123999766439951,0.7377482484981261,0.8006545123926224,0.736556130959572,0.7977756839450152,1.014330561510594,1.1242812528757173,0.8177030001607936,0.9033083782483167,1.0046503177851234,1.1103423014427924
B,36,seller,LinearTBNegotiator,0.34,0.4748975028266149,200,11.045,7.806901662493206,200,0.19936331075061137,0.2971112145163386,200,0.3974585488458494,0.5514565945786101,200,0.5599211922018622,0.3913493893275734,200,0.6642274974124368,0.2929496162710655,200,0.657859581881015,0.2909284026757922,200,0.653934335881187,0.28955130677528923,200,0.8450873045855505,0.55145659457861,200,0.6801256486847285,0.44381186662505345,200,0.8327001813128807,0.55145659457861,200,0.06581743594498238,1.0819813686986735,0.04117751349201051,0.07642798472108887,0.05423825817332132,0.04060074540140841,0.04032061948887734,0.040129763734357726,0.07642798472108886,0.061509186570480434,0.07642798472108886,0.275,0.405,10.005,12.175125,0.15756678455855616,0.24086207781716376,0.322013744364218,0.4730067461215821,0.5056024676025743,0.6141680219246783,0.6238725797222653,0.7051567424530096,0.6157547045695446,0.6974454351850471,0.6127205840195358,0.6938729557878884,0.7696328680892295,0.9184740707402937,0.6194624075412611,0.74070363914362,0.7568883279765614,0.9087889371262009
B,36,seller,SmartAspirationNegotiator,0.15,0.35796746153468745,200,13.14,9.386208207930029,200,0.10859232780745515,0.263719975712364,200,0.1685614636099243,0.3954744499535077,200,0.7176835666230562,0.29209625974773,200,0.7810746928242811,0.22638521610034593,200,0.7709305264563237,0.23018016253231743,200,0.7671003300523482,0.2282034943049285,200,1.0739843898214756,0.3954744499535078,200,0.864341856564547,0.31827754996837354,200,1.0615972665488058,0.3954744499535078,200,0.04961175902108117,1.3008620887974063,0.03654972389947058,0.054809962408236455,0.040482476221262026,0.03137539020712757,0.03190134294895977,0.0316273907094422,0.05480996240823647,0.04411101792088712,0.05480996240823647,0.1,0.2,11.829875,14.470125,0.07393288070158668,0.1472204919281281,0.11488575077700049,0.22322554484791074,0.6768758245419328,0.7582578356169002,0.7467689395265498,0.8096898698900308,0.7371126398363887,0.8011823145739915,0.732667561103733,0.7973931135701098,1.0166979638919866,1.1284025888528264,0.8193004999375658,0.9085699328135203,1.0029666499728327,1.1125919758114768
C,12,buyer,BoulwareTBNegotiator,0.61,0.4889739025622274,200,7.535,4.210393337955671,200,0.4227059363157015,0.3544863663358087,200,0.6954924407372763,0.564005182426526,200,0.3899892570083365,0.40375099604562376,200,0.4967097330422666,0.3452040389756478,200,0.5018379766931642,0.3429200901249984,200,0.5010010696452313,0.34075849519159324,200,0.5877447757179332,0.564005182426526,200,0.4580172459005735,0.43951747595391877,200,0.5816573734367593,0.564005182426526,200,0.06776832541570021,0.5835307454232992,0.04912930384094888,0.07816713026715785,0.055957033174077964,0.04784283890312249,0.047526299741967724,0.04722671796859223,0.07816713026715785,0.06091401438861421,0.07816713026715785,0.54,0.675,6.914875,8.115124999999999,0.37215536788735,0.47164447422424516,0.6123790585581469,0.7708571495492285,0.3354378217036046,0.44632205689416327,0.4525214791420612,0.5446493277383989,0.45402458122851713,0.5464702412931833,0.4521188129352493,0.5469376096236206,0.509277566224611,0.6692614590108499,0.3977834230899925,0.5177925296872041,0.5037330306546418,0.66443579415359
C,12,buyer,ConcederTBNegotiator,0.705,0.4571871613491707,200,5.025,3.461834265589857,200,0.18809803787838092,0.13827521704087772,200,0.7031240914133327,0.4669121000740704,200,0.3404600118581949,0.3735726220714486,200,0.5880595853013569,0.21371393174742537,200,0.5741037644105458,0.21998186552084478,200,0.5653680014083416,0.22169873890322545,200,0.580113125041877,0.4669121000740704,200,0.45207005969198005,0.36385486181881443,200,0.5740257227607031,0.4669121000740704,200,0.06336290784403965,0.4797857509703377,0.01916396735337067,0.0647107155873637,0.051774523929142675,0.029619239793038116,0.030487931094179875,0.030725877605159407,0.0647107155873637,0.05042771107131646,0.0647107155873637,0.64,0.765,4.539875,5.505,0.16867263309257918,0.20697403910244785,0.6355388582797165,0.7681871033698222,0.2889619059770455,0.3933118087125226,0.5591587565447648,0.6184151833079,0.5433954626134826,0.6052749770928124,0.534600821042198,0.5962464526933425,0.5156658200375172,0.6451136227024947,0.4051792853645598,0.5029608946638079,0.5124023823177952,0.6406447268440463
C,12,buyer,GeniusBOABaselineNegotiator,0.625,0.4853377832181371,200,7.3,4.042487914974337,200,0.3978364444019911,0.33363091260166017,200,0.6602135590698205,0.5192494442737737,200,0.41129034662550595,0.37916949035477904,200,0.5094686290144006,0.32306903179811797,200,0.5105582879570896,0.32598726414454093,200,0.5074331384771387,0.3265894802267721,200,0.623023657385389,0.5192494442737737,200,0.48550934261898815,0.4046402626227898,200,0.6169362551042151,0.5192494442737737,200,0.06726438498519989,0.5602602410384321,0.0462388854199617,0.07196430142197302,0.05255021029838664,0.044775083422461025,0.04517952979118281,0.04526299268197792,0.07196430142197302,0.056080279233769306,0.07196430142197302,0.56,0.69,6.755,7.845,0.3512444192791202,0.44269698274139674,0.5860562296266318,0.7317118286303015,0.359967336192993,0.4621696183414364,0.46692339352324524,0.5549865566373972,0.46617798868118887,0.5566790815624788,0.4608195069393019,0.5533258426669805,0.549942467329474,0.6971945651249971,0.42848019664983983,0.5420201152357333,0.5514679252004391,0.6899820954129264
