run_id,seed,profile_id,n_steps,strategy_buyer,strategy_seller,agreement,agreement_outcome,rounds,u_buyer,u_seller,welfare,frontier_optimal_welfare,pareto_distance,nash_distance,kalai_distance,ks_distance,money_left_on_table,welfare_regret,nash_gap
38,38,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,0,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
39,39,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
40,0,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,9,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
41,1,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
42,2,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
43,3,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
44,4,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
45,5,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,2,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
46,6,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,0,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
47,7,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
48,8,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,7,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
49,9,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
50,10,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
51,11,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
52,12,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,1,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
53,13,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
54,14,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
55,15,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,7,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
56,16,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
57,17,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,1,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
58,18,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
59,19,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
60,20,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
61,21,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,3,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
62,22,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,1,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
